Date,Average Pace (min/mile)
1/9/15,10.06666667
1/14/15,8.733333333
1/19/15,8.833333333
1/20/15,8.7
1/22/15,8.266666667
2/8/15,8.866666667
2/10/15,8.55
2/11/15,9.25
2/14/15,8.516666667
2/18/15,8.25
2/22/15,8.45
3/1/15,8.833333333
3/9/15,8.216666667
3/10/15,7.95
3/14/15,8.466666667
3/18/15,8.316666667
3/19/15,8.5
3/20/15,8.416666667
3/21/15,8.266666667
3/22/15,8.116666667
3/24/15,8.166666667
3/25/15,8.183333333
3/29/15,8.283333333
3/29/15,8.15
4/3/15,8.35
4/4/15,8.016666667
4/6/15,8.383333333
5/2/15,8.233333333
5/6/15,8.166666667
5/20/15,8.2
5/23/15,8.333333333
6/1/15,7.7
6/14/15,9.416666667
Average,8.459090909
Standard Deviation,0.453862492